cont_id,transaction_id,payment_date,delivery_date,transaction_date,cont_residency_zip,store_name,prod_id,prod_family,prod_subfamily,prod_style,prod_name,other01,prod_category,prod_color,prod_price_net
102200165,102200192,9/1/2016,5/4/2017,9/1/2016,7043,PARAMUS,790182150,CHAIRS,CHAIRS,LES CONTEMPORAINS,CIRCA,CHAIR,FABRIC,CAT. B,5160
102200165,102200192,9/1/2016,5/4/2017,9/1/2016,7043,PARAMUS,790231173,TABLES,DINING TABLES,LES CONTEMPORAINS,AXEL - FENIX??,RECTANGULAR DINING TABLE,TOPS,F??NIX?? COL. WHITE,5977.5
102200165,102200192,9/1/2016,5/4/2017,9/1/2016,7043,PARAMUS,790124295,COMPLEMENTARY PIECES,END TABLES,LES CONTEMPORAINS,TANDEM,END TABLE,LEGS,FINISH,678
102200165,102200192,9/1/2016,5/4/2017,9/1/2016,7043,PARAMUS,790050429,ARMCHAIRS,RELAX ARMCHAIRS,LES CONTEMPORAINS,NEW TOM,ARMCHAIR RECLINING SYSTEM,LEATHER,COL,2685
102200165,102200295,11/23/2016,5/5/2017,11/22/2016,7043,PARAMUS,790149484,BEDS,BEDS,LES CONTEMPORAINS,ELLICA BEDROOM,BED - KING SIZE,LEATHER,LEATHER CAT. 03,3847.5
102200165,102200295,11/23/2016,5/5/2017,11/22/2016,7043,PARAMUS,790088876,COMPLEMENTARY PIECES,BEDSIDE TABLES,LES CONTEMPORAINS,ELLICA BEDROOM,BEDSIDE TABLE - WOOD,LEATHER,LEATHER CAT. 03,2085
102200165,102200295,11/23/2016,5/5/2017,11/22/2016,7043,PARAMUS,790150610,BOOKCASES/CABINETS,BOOKCASES,LES CONTEMPORAINS,OMEGA,ROUND BOOKCASE - NO LIGHTING,FINISH,ALPI VEENER,5538.75
102200165,102200316,12/14/2016,2/13/2017,12/14/2016,7043,PARAMUS,100056567,ACCESSORIES,nan,NOUVEAUX CLASSIQUES,WALL COVERING,WALL COVERING,nan,nan,918
102200165,102200462,5/9/2017,2/1/2018,5/6/2017,7043,PARAMUS,790170102,CHAIRS,STOOLS,LES CONTEMPORAINS,CHABADA UP & DOWN,STOOL - EPOXY FINISH,FABRICS,FABRIC CAT 1,1041.25
102200165,102200483,5/20/2017,2/1/2018,5/6/2017,7043,PARAMUS,790151011,SOFAS,SOFA COMPLEMENTARY UNITS,NOUVEAUX CLASSIQUES,PERCEPTION LEATHER AND FABRIC,LUMBAR CUSHION,LEATHER,VERONA LEATHER,518.5
102200165,102200639,9/29/2017,4/30/2018,9/29/2017,7043,PARAMUS,790207072,ARMCHAIRS,OTTOMANS,LES CONTEMPORAINS,TRILOGIE,SMALL OTTOMAN,FABRICS,FABRIC CAT. A1 / COM,600
102200165,102200639,9/29/2017,4/30/2018,9/29/2017,7043,PARAMUS,790019124,COMPLEMENTARY PIECES,PEDESTAL TABLES,LES CONTEMPORAINS,INDO,PEDESTAL TABLE,NO CATEGORY,NO CATEGORY,1998.5
102200165,102201429,3/13/2019,7/10/2019,3/12/2019,7043,PARAMUS,790192843,CHAIRS,STOOLS,LES CONTEMPORAINS,STEEPLE CHAIR,STOOL - BLACK CHROME-PLATED BASE,FABRICS,FABRICS CAT. 1,5979.75
102200165,102201550,6/15/2019,6/15/2019,6/15/2019,7043,PARAMUS,790206620,SOFAS,SOFA COMPLEMENTARY UNITS,LES CONTEMPORAINS,MAH JONG (1/2),SMALL CUSHION,FABRICS,FABRIC CAT. F1,165
100000041,100000028,7/2/2006,11/27/2006,6/18/2006,10019,MADISON,790026227,MEUBLE GARNI CHAMBRE ADULTE,LIT,LES CONTEMPORAINS,VANITY (CHAMBRE),BED W/NIGHTSTANDS QUEEN 158X203,LEATHER,LEATHER 3 COLORS,8991.72
100000041,100000089,8/12/2006,6/15/2007,8/6/2006,10019,MADISON,100052622,MEUBLE MEUBLES DE COMPLE,MEUBLE TV/HIFI,LES CONTEMPORAINS,PIVOT,TV UNIT,nan,nan,3083.41
100000041,100000089,8/12/2006,6/15/2007,8/6/2006,10019,MADISON,100052583,DECO TAPIS,TAPIS,LES CONTEMPORAINS,LOLA,RUNNER RUG,nan,nan,1419.54
100000041,100000028,7/2/2006,11/27/2006,6/18/2006,10019,MADISON,100052601,DECO OBJETS DE DECORAT,OBJETS DE DECORATION,LES CONTEMPORAINS,BOUCHE,BOUCHE,nan,ROSE,0
100000041,100000028,7/2/2006,11/27/2006,6/18/2006,10019,MADISON,100052303,MEUBLE CHAMBRE ADULTE,LIT,LES CONTEMPORAINS,NEW SWEET DUO,SLATTED BASE,FLAT,WENGE,1187.52
100000041,100000028,7/2/2006,11/27/2006,6/18/2006,10019,MADISON,790018018,COMPLEMENTARY PIECES,MISCELLANEOUS,LES CONTEMPORAINS,SPEED UP COLLECTION,COLUMN - 2 DOORS,NO TYPE,DAQUACRYL,6781.86
100000618,100000549,3/3/2007,6/7/2007,3/3/2007,19106,MADISON,100052141,MEUBLE SALLE A MANGER,TABLE DE REPAS,LES CONTEMPORAINS,TENDER,EXTENSION TABLE GLASS CLEAR,LACQUERED,MAT BLACK,6500
100000895,100000715,5/7/2007,8/14/2007,5/7/2007,10003,MADISON,900004746,ARMCHAIRS,OTTOMANS,LES CONTEMPORAINS,ROYAL,OTTOMAN,LEATHER,LEATHER CAT. 03,944.02
100000895,100000715,5/7/2007,8/14/2007,5/7/2007,10003,MADISON,900004558,SOFAS,SOFA COMPLEMENTARY UNITS,LES CONTEMPORAINS,ROYAL,COVERED BACK (OPTIONAL),LEATHER,LEATHER CAT. 03,3263.59
100000903,100000724,5/12/2007,9/17/2007,5/12/2007,10011,MADISON,100053074,MEUBLE MEUBLES DE COMPLE,nan,LES CONTEMPORAINS,NEPTUNE TV UNIT,TV UNIT,nan,nan,3473
100000903,100000724,5/12/2007,9/17/2007,5/12/2007,10011,MADISON,790022641,ARMCHAIRS,INDEPENDENT ARMCHAIRS,LES CONTEMPORAINS,POP (SWIVEL ARMCHAIR),SWIVEL ARMCHAIR,LEATHER,LEATHER CAT. C,2877
100000917,100000738,5/22/2007,6/2/2007,5/16/2007,7093,MADISON,100052791,MEUBLE MEUBLES DE COMPLE,MEUBLE TV/HIFI,LES CONTEMPORAINS,AT03A,TV UNIT,nan,OAK COLOR WENGE,1877
100000931,100001835,6/24/2008,6/24/2008,6/24/2008,10001,MADISON,100053410,DECO OBJETS DE DECORAT,OBJETS DE DECORATION,LES VOYAGES,LIANES02,DANCE OF VINES- SET OF 12 PIECES,nan,nan,4832.06
100000931,100001938,8/6/2008,8/6/2008,8/6/2008,10001,MADISON,790022641,ARMCHAIRS,INDEPENDENT ARMCHAIRS,LES CONTEMPORAINS,POP (SWIVEL ARMCHAIR),SWIVEL ARMCHAIR,LEATHER,LEATHER CAT. C,3035.29
100000931,100000760,5/25/2007,6/20/2008,5/24/2007,10001,MADISON,100052300,MEUBLE CHAMBRE ADULTE,LIT,LES CONTEMPORAINS,NEW SWEET DUO,SLATTED BASE,FLAT,NORMAL,1073.2
100000931,100001835,6/24/2008,6/24/2008,6/24/2008,10001,MADISON,900004746,ARMCHAIRS,OTTOMANS,LES CONTEMPORAINS,ROYAL,OTTOMAN,LEATHER,LEATHER CAT. 03,860.01
100000931,100001835,6/24/2008,6/24/2008,6/24/2008,10001,MADISON,900004558,SOFAS,SOFA COMPLEMENTARY UNITS,LES CONTEMPORAINS,ROYAL,COVERED BACK (OPTIONAL),LEATHER,LEATHER CAT. 03,3100.04
